,storm_count,avg_wind_max,std_wind_max,depth
0.0,206.0,57.36893203883495,33.34811687126364,0.0
200.0,1167.0,67.19194515852614,31.447934478029538,200.0
1000.0,535.0,64.30841121495327,33.33977199293934,1000.0
2000.0,178.0,58.657303370786515,31.467844788760786,2000.0
3000.0,34.0,55.911764705882355,35.91768992887752,3000.0
4000.0,158.0,75.03164556962025,40.100730901207875,4000.0
5000.0,3.0,53.333333333333336,23.21398046197353,5000.0
6000.0,5.0,89.0,28.178005607210743,6000.0
